Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),798,0,170.0,215.18300363310655,165.65159999299794,5907.948400010355,912.671679197995,2.6737996352868967,0.0,170,180,180,180,190,210,350,1100,5900,5900,5900
POST,[Account] Create Checking Account,300,7,290.0,402.34892333227134,169.8340000002645,3619.5315000077244,23.763333333333332,1.0051878328146229,0.023454382765674534,290,370,420,440,550,850,2400,3300,3600,3600,3600
POST,[Account] Create Savings Account,300,14,210.0,333.67314233396127,169.27969999960624,3437.145599978976,29.526666666666667,1.0051878328146229,0.04690876553134907,210,260,310,350,460,680,2900,3400,3400,3400,3400
POST,[Account] Get All Accounts,300,17,190.0,345.93351899966365,166.40500002540648,3198.3241999987513,550.84,1.0051878328146229,0.05696064385949529,190,260,310,350,520,770,2400,3000,3200,3200,3200
GET,[Account] View Account Details,3519,0,150.0,155.9555791416091,149.19019999797456,373.796100000618,18.0,11.790853278915526,0.0,150,150,160,160,160,160,180,210,310,370,370
POST,[Account] View All Accounts,2498,17,170.0,205.1504477581253,163.50369999418035,3102.75280001224,566.1841473178542,8.369864021236426,0.05696064385949529,170,180,180,190,200,260,600,980,2600,3100,3100
POST,[Auth] Login,300,0,21000.0,20590.56773899976,1976.791900000535,43070.25079999585,96.05333333333333,1.0051878328146229,0.0,21000,24000,27000,27000,28000,31000,32000,43000,43000,43000,43000
POST,[Auth] Logout,170,0,150.0,479.11750352975696,149.91839998401701,7128.813999996055,37.0,0.569606438594953,0.0,150,180,310,340,500,2400,5000,6400,7100,7100,7100
POST,[Auth] Re-login,170,0,490.0,1287.7013611764758,335.57110000401735,26784.663999977056,95.80588235294118,0.569606438594953,0.0,490,560,670,740,1300,6500,11000,26000,27000,27000,27000
POST,[Auth] Register User,300,0,30000.0,27732.82871299985,1335.775100014871,51985.11099998723,96.05333333333333,1.0051878328146229,0.0,30000,36000,38000,39000,43000,44000,49000,51000,52000,52000,52000
PUT,[Auth] Update Profile,331,0,540.0,1645.906678849801,344.8457999911625,36626.65439999546,96.18126888217523,1.1090572422054672,0.0,540,670,760,840,1500,6600,23000,25000,37000,37000,37000
POST,[Loan] Submit Application (Cloud Function),456,0,320.0,371.17048333311686,237.18789999838918,5694.711299991468,44.0,1.5278855058782266,0.0,320,340,360,370,410,470,800,1500,5700,5700,5700
POST,[Loan] View History (Cloud Function),653,0,200.0,226.94114456336538,183.1860000093002,3853.9091999991797,293.2343032159265,2.1879588494264954,0.0,200,200,210,220,230,280,630,940,3900,3900,3900
POST,[Transaction] Internal Transfer,1450,0,570.0,801.980214483498,246.74580001737922,6643.664900009753,67.8551724137931,4.85840785860401,0.0,570,770,940,1100,1600,2200,3100,3500,6300,6600,6600
POST,[Transaction] View History,1899,0,250.0,380.5188654554496,183.67930001113564,5011.747399985325,241.53554502369667,6.362838981716562,0.0,250,320,400,460,690,1000,1400,1900,5000,5000,5000
,Aggregated,13444,55,190.0,1420.906903555344,149.19019999797456,51985.11099998723,243.07334126747992,45.04581741453263,0.18428443601601419,190,260,350,430,860,3100,25000,33000,45000,51000,52000
