Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),52,0,180.0,207.87629038386513,170.2934999775607,1494.1219000029378,913.6153846153846,0.1742066975772111,0.0,180,180,180,190,200,240,260,1500,1500,1500,1500
POST,[Account] Create Checking Account,20,0,340.0,308.29736500018043,179.7079000098165,413.51869999198243,18.0,0.06700257599123503,0.0,340,370,400,400,410,410,410,410,410,410,410
POST,[Account] Create Savings Account,20,0,190.0,203.3269850027864,173.82400002679788,253.4975000016857,18.0,0.06700257599123503,0.0,200,220,230,230,250,250,250,250,250,250,250
POST,[Account] Get All Accounts,20,0,180.0,184.23230999906082,170.14439997728914,197.31610000599176,579.7,0.06700257599123503,0.0,190,190,190,190,200,200,200,200,200,200,200
GET,[Account] View Account Details,239,0,150.0458999944385,153.5199665259638,150.0458999944385,201.74190000398085,18.0,0.8006807830952587,0.0,150,150,150,150,160,160,160,160,200,200,200
POST,[Account] View All Accounts,173,0,170.0,172.88634508836077,166.33139998884872,288.70769997593015,581.1156069364162,0.5795722823241831,0.0,170,170,170,170,180,180,190,210,290,290,290
POST,[Auth] Login,20,17,60000.0,51268.166185000155,796.0263999993913,60155.80659999978,156.05,0.06700257599123503,0.05695218959254978,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,[Auth] Logout,15,0,160.0,155.2610133367125,152.24589998251759,160.49400001065806,37.0,0.05025193199342628,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,[Auth] Re-login,15,0,410.0,450.1540866661041,375.86000000010245,654.366700007813,97.6,0.05025193199342628,0.0,410,430,500,600,610,650,650,650,650,650,650
POST,[Auth] Register User,300,280,60000.0,54601.22756466626,303.7056000030134,60354.80060000555,161.82333333333332,1.0050386398685256,0.9380360638772905,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
PUT,[Auth] Update Profile,19,0,430.0,441.1597105224102,348.800299980212,778.3003999793436,95.47368421052632,0.06365244719167329,0.0,430,450,460,460,480,780,780,780,780,780,780
POST,[Loan] Submit Application (Cloud Function),26,0,320.0,365.8723961584306,250.37399999564514,1244.3955999915488,44.0,0.08710334878860555,0.0,320,360,370,380,440,450,1200,1200,1200,1200,1200
POST,[Loan] View History (Cloud Function),35,0,190.0,223.68743142911367,186.91379998927005,1245.5723000166472,192.11428571428573,0.11725450798466132,0.0,190,190,200,200,200,220,1200,1200,1200,1200,1200
POST,[Transaction] Internal Transfer,101,0,330.0,359.1169336652798,245.32149999868125,638.8895999989472,67.72277227722772,0.33836300875573694,0.0,330,370,400,420,480,510,600,610,640,640,640
POST,[Transaction] View History,114,0,190.0,206.5458640337742,186.86849999357946,427.7124999789521,235.2982456140351,0.38191468315003974,0.0,190,200,200,200,240,290,340,430,430,430,430
,Aggregated,1169,297,190.0,15048.486694012,150.0458999944385,60354.80060000555,223.85799828913602,3.916300566687688,0.9949882534698403,190,360,12000,60000,60000,60000,60000,60000,60000,60000,60000
