Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),624,0,170.0,185.30497387753434,167.78500002692454,1620.4990999831352,912.1602564102565,2.0902806278616097,0.0,170,180,180,180,180,190,250,510,1600,1600,1600
POST,[Account] Create Checking Account,300,0,230.0,297.9212903327425,175.15480000292882,1022.4175000039395,18.0,1.0049426095488507,0.0,230,280,330,350,520,700,820,980,1000,1000,1000
POST,[Account] Create Savings Account,300,0,230.0,303.55306833283976,172.94580000452697,1034.0882999880705,18.0,1.0049426095488507,0.0,230,300,390,410,520,710,790,840,1000,1000,1000
POST,[Account] Get All Accounts,300,0,200.0,248.3323776665687,165.75240000383928,698.5716999915894,585.5666666666667,1.0049426095488507,0.0,200,250,300,340,390,430,520,540,700,700,700
GET,[Account] View Account Details,2530,0,150.0,277.39363470398445,149.1251999977976,3751.529900007881,18.0,8.475016007195308,0.0,150,160,160,160,230,1200,2300,2700,3700,3800,3800
POST,[Account] View All Accounts,1921,0,170.0,365.2208793336674,164.86069999518804,4344.024799996987,587.1311816762103,6.4349825098111415,0.0,170,180,180,190,560,1800,2900,3300,4300,4300,4300
POST,[Auth] Login,300,0,1500.0,2644.3074579996755,185.6835999933537,9194.376100000227,96.29,1.0049426095488507,0.0,1500,3500,4300,5000,6200,6900,7600,8500,9200,9200,9200
POST,[Auth] Logout,130,0,150.7219999912195,215.1474730760898,150.7219999912195,3691.114099987317,37.0,0.435475130804502,0.0,150,160,160,160,170,200,970,2700,3700,3700,3700
POST,[Auth] Re-login,130,2,200.0,302.1933284626217,148.10409999336116,5577.612599998247,97.32307692307693,0.435475130804502,0.006699617396992339,200,210,210,230,250,310,3000,4200,5600,5600,5600
POST,[Auth] Register User,300,0,2700.0,4481.316894666913,444.72460000542924,14008.122600003844,96.29,1.0049426095488507,0.0,2700,6100,7800,8800,9900,11000,11000,13000,14000,14000,14000
PUT,[Auth] Update Profile,242,3,200.0,398.565773139727,149.57259999937378,8928.965200000675,97.38429752066116,0.8106537050360729,0.010049426095488508,200,220,240,250,270,390,4900,7000,8900,8900,8900
POST,[Loan] Submit Application (Cloud Function),376,0,430.0,453.704259308034,309.0564000012819,1713.972699973965,44.0,1.2595280706345597,0.0,430,450,470,480,510,560,880,990,1700,1700,1700
POST,[Loan] View History (Cloud Function),525,0,190.0,195.81882323787016,178.9534999988973,1734.6381999959704,233.51619047619047,1.7586495667104889,0.0,190,190,190,190,190,190,210,600,1700,1700,1700
POST,[Transaction] Internal Transfer,1136,872,11000.0,12942.331152552522,161.51330000138842,60154.60549999261,218.53697183098592,3.8053826814916483,2.9210331850886595,11000,15000,17000,19000,23000,32000,38000,43000,60000,60000,60000
POST,[Transaction] View History,1440,667,6700.0,8408.279350972001,160.08549998514354,60151.64759999607,147.3,4.823724525834484,2.2343224018969448,6700,8500,10000,11000,15000,24000,40000,45000,60000,60000,60000
,Aggregated,10554,1544,190.0,2952.356471015641,148.10409999336116,60154.60549999261,248.9473185522077,35.35388100392857,5.172104630478086,190,510,2500,4500,10000,15000,22000,31000,47000,60000,60000
