Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765713828,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765713829,20,,Aggregated,0.000000,0.000000,950,970,970,970,970,970,970,970,970,970,970,11,0,950.0,915.590609090445,731.2242000189144,974.4733000115957,95.36363636363636
1765713830,40,,Aggregated,0.000000,0.000000,940,970,1200,1200,1200,1300,1300,1300,1300,1300,1300,31,0,940.0,887.438851613326,214.7646000084933,1261.4642000116874,95.7741935483871
1765713831,80,,Aggregated,0.000000,0.000000,940,970,1000,1200,1300,1300,1300,1400,1400,1400,1400,60,0,920.0,845.509088333832,195.4009000037331,1446.625500015216,96.16666666666667
1765713832,100,,Aggregated,5.500000,0.000000,940,1000,1200,1200,1400,1400,1400,1400,1400,1400,1400,106,0,920.0,866.1927688682347,180.8714999933727,1446.625500015216,88.02830188679245
1765713833,120,,Aggregated,13.333333,0.000000,940,1100,1300,1400,1500,1600,1900,1900,2100,2100,2100,146,0,920.0,872.2481917809577,180.8714999933727,2122.874699998647,79.74657534246575
1765713834,140,,Aggregated,15.250000,0.000000,950,1200,1400,1400,1600,1900,2700,2700,2700,2700,2700,187,0,950.0,927.6593614980967,175.79740000655875,2705.5598000006285,75.8663101604278
1765713835,160,,Aggregated,21.600000,0.000000,960,1300,1400,1600,2100,2700,2700,2900,3500,3500,3500,235,0,960.0,1022.8113668086503,175.44289998477325,3506.2687000026926,73.91063829787234
1765713836,180,,Aggregated,24.333333,0.000000,750,1200,1400,1500,1900,2700,2700,3500,3500,3500,3500,287,0,750.0,944.1505188154031,161.13429999677464,3543.1585000187624,78.8362369337979
1765713837,200,,Aggregated,27.428571,0.000000,730,1200,1400,1500,2200,2700,3500,3700,3700,3700,3700,343,0,730.0,952.273265598223,153.27300000353716,3708.8174000091385,100.02915451895043
1765713838,220,,Aggregated,31.125000,0.000000,690,1200,1400,1600,2400,3200,3700,4100,4500,4500,4500,404,0,690.0,993.0930056935983,150.30399998067878,4496.439400012605,114.58910891089108
1765713839,240,,Aggregated,32.222222,0.000000,730,1100,1400,1600,2500,3400,3700,4100,4500,4500,4500,472,0,720.0,1014.8636582629387,150.30399998067878,4496.439400012605,121.55084745762711
1765713840,260,,Aggregated,35.300000,0.000000,690,1100,1400,1700,2700,4000,5400,6300,6400,6400,6400,543,0,690.0,1109.0834397793353,150.15540001331829,6360.752499982482,130.097605893186
1765713841,280,,Aggregated,41.100000,0.000000,650,1000,1400,1600,3000,4300,5400,6400,6500,6500,6500,591,0,650.0,1126.8193015232173,150.15540001331829,6473.1391000095755,134.6497461928934
1765713842,300,,Aggregated,46.800000,0.000000,590,1100,1400,1700,3500,4400,5800,6400,6700,6700,6700,663,0,590.0,1162.4612889898242,150.15540001331829,6718.234500003746,134.57315233785823
1765713843,300,,Aggregated,50.800000,0.000000,620,1200,1500,1800,3700,4800,5800,6400,6700,6700,6700,726,0,590.0,1234.5258133609304,150.15540001331829,6718.234500003746,135.9793388429752
1765713844,300,,Aggregated,53.300000,0.000000,520,1100,1500,1800,3700,5000,5800,6400,7000,7000,7000,794,0,520.0,1216.6828031485118,150.08119997219183,7005.830900016008,145.632241813602
1765713845,300,,Aggregated,55.500000,0.000000,480,1100,1500,1800,4100,5600,6500,9100,9200,9200,9200,865,0,480.0,1287.1439105200222,150.08119997219183,9194.376100000227,149.96878612716762
1765713846,300,,Aggregated,58.100000,0.000000,480,1100,1600,1900,4300,5900,8800,9100,9400,9400,9400,949,0,480.0,1409.1559957848563,150.08119997219183,9366.84050000622,150.08219178082192
1765713847,300,,Aggregated,62.000000,0.000000,440,1100,1600,1900,4500,6300,8900,9100,11000,11000,11000,1016,0,440.0,1463.35715570847,150.08119997219183,10917.935699981172,148.08956692913387
1765713848,300,,Aggregated,62.500000,0.000000,390,1000,1600,2000,5000,6600,8800,9100,11000,11000,11000,1112,0,390.0,1496.7720036868825,150.08119997219183,10917.935699981172,150.0890287769784
1765713849,300,,Aggregated,66.400000,0.000000,370,1000,1600,2200,5400,7000,9100,9400,11000,11000,11000,1205,0,370.0,1549.2534802488972,149.54359998228028,10997.949599986896,151.70871369294605
1765713850,300,,Aggregated,66.700000,0.000000,360,1000,1600,2500,5800,7800,9800,11000,11000,12000,12000,1294,0,350.0,1632.4318098144079,149.54359998228028,11682.477199996356,153.8500772797527
1765713851,300,,Aggregated,70.200000,0.000000,350,1000,1600,2500,5800,8100,9800,11000,11000,12000,12000,1392,0,350.0,1635.7098053877758,149.54359998228028,11682.477199996356,151.8369252873563
1765713852,300,,Aggregated,73.100000,0.000000,350,960,1600,2300,5800,7800,9900,11000,11000,12000,12000,1491,0,350.0,1596.6957865859788,149.54359998228028,11682.477199996356,156.00536552649228
1765713853,300,,Aggregated,74.800000,0.000000,350,900,1500,2000,5700,7800,9900,11000,14000,14000,14000,1588,0,350.0,1561.4400985513794,149.54359998228028,14008.122600003844,157.03148614609572
1765713854,300,,Aggregated,80.900000,0.000000,350,810,1400,1900,5600,7700,9900,11000,14000,14000,14000,1695,0,350.0,1541.6886884362657,149.54359998228028,14008.122600003844,158.41238938053098
1765713855,300,,Aggregated,83.200000,0.000000,340,770,1400,1900,5400,7400,9800,11000,14000,14000,14000,1772,0,340.0,1501.1259519747857,149.54359998228028,14008.122600003844,159.26975169300226
1765713856,300,,Aggregated,86.500000,0.000000,340,730,1300,1800,5200,7100,9800,11000,14000,14000,14000,1855,4,340.0,1450.1861274389564,148.10409999336116,14008.122600003844,164.35471698113207
1765713857,300,,Aggregated,88.300000,0.000000,340,680,1300,1600,4900,7000,9800,11000,14000,14000,14000,1949,4,340.0,1401.1580249867716,148.10409999336116,14008.122600003844,171.29502308876346
1765713858,300,,Aggregated,90.000000,0.000000,320,620,1200,1600,4600,6900,9400,10000,13000,14000,14000,2010,5,320.0,1364.7114751737547,148.10409999336116,14008.122600003844,175.90547263681592
1765713860,300,,Aggregated,90.200000,0.400000,300,570,1100,1600,4500,6900,9400,10000,13000,14000,14000,2075,5,300.0,1328.6992537346232,148.10409999336116,14008.122600003844,181.33060240963854
1765713861,300,,Aggregated,93.000000,0.400000,300,560,1100,1600,4500,6800,9400,10000,13000,14000,14000,2118,5,300.0,1320.647189895865,148.10409999336116,14008.122600003844,184.62842304060433
1765713862,300,,Aggregated,86.500000,0.500000,290,550,1100,1600,4500,6800,9200,10000,13000,14000,14000,2185,5,290.0,1320.9284441644966,148.10409999336116,14008.122600003844,186.75331807780321
1765713863,300,,Aggregated,86.500000,0.500000,290,550,1100,1600,4500,6800,9200,10000,13000,14000,14000,2221,5,290.0,1311.7126058079486,148.10409999336116,14008.122600003844,186.80459252588923
1765713864,300,,Aggregated,82.200000,0.500000,280,530,1100,1600,4500,6800,9200,10000,13000,14000,14000,2271,5,280.0,1299.5722785555085,148.10409999336116,14008.122600003844,187.2457067371202
1765713865,300,,Aggregated,72.600000,0.500000,280,520,1000,1600,4500,6800,9200,10000,13000,14000,14000,2298,5,280.0,1294.2351146212166,148.10409999336116,14008.122600003844,188.06005221932114
