Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),626,0,170.0,180.0656493605537,167.54450000007637,1444.0704000007827,912.3897763578275,2.0967251673800837,0.0,170,170,180,180,180,190,220,270,1400,1400,1400
POST,[Account] Create Checking Account,300,0,900.0,1460.4487903336606,176.46780001814477,4621.553100005258,18.0,1.0048203677540337,0.0,1100,1800,2100,2800,3600,3900,4000,4000,4600,4600,4600
POST,[Account] Create Savings Account,300,0,800.0,1012.9708849995708,174.6298000216484,4035.10519998963,18.0,1.0048203677540337,0.0,800,990,1100,1300,2200,3500,3700,4000,4000,4000,4000
POST,[Account] Get All Accounts,300,0,380.0,524.4401200007027,167.57550000329502,1798.054900020361,585.1,1.0048203677540337,0.0,390,560,690,730,1200,1400,1700,1800,1800,1800,1800
GET,[Account] View Account Details,2203,0,150.0,269.274985791661,149.2283999978099,4000.357699987944,18.0,7.378730900540454,0.0,150,160,160,160,230,960,2300,2700,3900,4000,4000
POST,[Account] View All Accounts,1772,0,180.0,392.00970852118775,167.3793000227306,4568.966100021498,587.1997742663657,5.935138972200492,0.0,180,180,190,210,810,1900,3000,3400,4300,4600,4600
POST,[Auth] Login,300,15,1500.0,2746.6578116668584,148.34929999778979,11103.712400014047,99.11666666666666,1.0048203677540337,0.05024101838770168,1600,2600,4300,5600,7200,9100,9900,10000,11000,11000,11000
POST,[Auth] Logout,107,2,150.31499997712672,255.3953551415302,150.31499997712672,2973.646099999314,39.242990654205606,0.35838593116560535,0.006698802451693558,150,160,160,160,170,680,1900,2900,3000,3000,3000
POST,[Auth] Re-login,105,1,200.0,513.1380400002291,149.9078000197187,9806.178900005762,96.84761904761905,0.3516871287139118,0.003349401225846779,200,220,230,240,310,540,7500,8700,9800,9800,9800
POST,[Auth] Register User,300,0,2600.0,5663.788888666022,440.5463000002783,21257.661799987545,96.10666666666667,1.0048203677540337,0.0,2600,8600,11000,11000,13000,14000,14000,17000,21000,21000,21000
PUT,[Auth] Update Profile,221,4,200.0,304.00713122140604,149.00330000091344,9913.926099980017,96.97737556561086,0.7402176709121382,0.013397604903387116,200,220,230,230,260,290,560,3400,9900,9900,9900
POST,[Loan] Submit Application (Cloud Function),358,0,500.0,521.2033505583385,374.02850002399646,1716.7055000027176,44.0,1.1990856388531468,0.0,500,530,560,570,620,680,730,860,1700,1700,1700
POST,[Loan] View History (Cloud Function),455,0,190.0,187.84531406632235,179.56920000142418,289.0105999831576,194.2,1.5239775577602843,0.0,190,190,190,190,190,200,210,230,290,290,290
POST,[Transaction] Internal Transfer,1047,855,12000.0,15459.810168099915,161.9570000038948,60149.227399990195,228.55969436485196,3.5068230834615775,2.863738048098996,12000,17000,20000,25000,38000,45000,48000,50000,55000,60000,60000
POST,[Transaction] View History,1239,599,8200.0,12081.728580467652,160.71510000620037,55909.11380000762,147.39386602098466,4.149908118824159,2.0062913342822206,8200,11000,16000,19000,29000,39000,49000,53000,56000,56000,56000
,Aggregated,9633,1476,200.0,3778.594704681663,148.34929999778979,60149.227399990195,255.17087096439323,32.264782008582024,4.943716209349846,200,850,2800,4800,12000,20000,36000,45000,54000,60000,60000
