Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),688,0,180.0,726.5328575579821,167.40969999227673,11759.552600007737,911.8473837209302,2.3050459835034696,0.0,180,190,310,570,1900,3900,6400,7500,12000,12000,12000
POST,[Account] Create Checking Account,299,0,200.0,233.00237023274735,171.0155000037048,591.8317000032403,18.0,1.001756902714444,0.0,200,250,270,280,320,350,440,560,590,590,590
POST,[Account] Create Savings Account,299,0,200.0,232.09851973337342,170.04329999326728,542.675299977418,18.0,1.001756902714444,0.0,200,230,270,280,340,420,460,470,540,540,540
POST,[Account] Get All Accounts,299,0,180.0,192.06133076977952,165.37219999008812,501.94750001537614,583.61872909699,1.001756902714444,0.0,180,190,190,200,230,260,310,380,500,500,500
GET,[Account] View Account Details,2697,0,150.0,153.7936012608351,148.8822999817785,283.029100013664,18.0,9.035914269634967,0.0,150,150,150,150,160,160,170,180,260,280,280
POST,[Account] View All Accounts,1953,0,190.0,1046.3891418842418,165.12109999894165,25515.71629999671,586.4828469022017,6.543248264218425,0.0,190,220,660,1300,3300,5500,7800,9900,18000,26000,26000
POST,[Auth] Login,299,4,18000.0,17819.44619632095,149.96459998656064,47999.989900010405,97.08695652173913,1.001756902714444,0.013401430136648079,18000,25000,30000,33000,36000,39000,40000,42000,48000,48000,48000
POST,[Auth] Logout,147,0,150.20890001324005,353.7129585048719,150.20890001324005,6544.765999977244,37.0,0.49250255752181693,0.0,150,160,160,170,340,1000,5300,6300,6500,6500,6500
POST,[Auth] Re-login,147,0,580.0,1417.0949408154124,363.048200000776,27364.476100017782,96.71428571428571,0.49250255752181693,0.0,580,730,950,1200,2700,5600,7900,16000,27000,27000,27000
POST,[Auth] Register User,300,1,35000.0,30299.273954000484,1630.9716000105254,60301.97339999722,96.52,1.005107260248606,0.0033503575341620197,35000,41000,44000,46000,50000,53000,55000,59000,60000,60000,60000
PUT,[Auth] Update Profile,309,0,600.0,2276.0728514559446,357.7532000199426,44071.24190000468,96.53074433656958,1.0352604780560641,0.0,600,800,1200,1600,3700,6500,24000,40000,44000,44000,44000
POST,[Loan] Submit Application (Cloud Function),431,29,400.0,3942.9428698378883,163.55779999867082,34744.15109999245,59.187935034802784,1.4440040972238306,0.09716036849069858,400,480,4900,10000,14000,19000,25000,29000,35000,35000,35000
POST,[Loan] View History (Cloud Function),488,4,210.0,2585.507522130788,183.6947000119835,21190.854200016474,254.6987704918033,1.6349744766710657,0.013401430136648079,210,270,3000,5900,10000,13000,16000,19000,21000,21000,21000
POST,[Transaction] Internal Transfer,1302,0,1400.0,4326.291855990399,256.376100005582,30906.766300002346,67.75729646697388,4.36216550947895,0.0,1400,3000,6200,8600,13000,17000,21000,23000,28000,31000,31000
POST,[Transaction] View History,1578,0,560.0,3125.2569495556613,187.5956000003498,38320.10790001368,198.47908745247148,5.286864188907668,0.0,560,1000,2900,5600,12000,15000,19000,23000,29000,38000,38000
,Aggregated,11236,38,210.0,2853.485299795192,148.8822999817785,60301.97339999722,237.2068351726593,37.64461725384446,0.12731358629815676,210,500,1000,1800,9100,16000,33000,41000,54000,59000,60000
