Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),9,0,180.0,190.8204666688107,179.39629999455065,246.0387000173796,905.8888888888889,0.07981742506944887,0.0,180,190,190,190,250,250,250,250,250,250,250
POST,[Account] Create Checking Account,20,0,170.0,217.1748699998716,168.33509999560192,591.3869000214618,18.0,0.1773720557098864,0.0,170,180,190,190,590,590,590,590,590,590,590
POST,[Account] Create Savings Account,20,0,170.0,173.96806000033394,166.46759997820482,181.382599985227,18.0,0.1773720557098864,0.0,170,180,180,180,180,180,180,180,180,180,180
POST,[Account] Get All Accounts,20,0,170.0,169.8000449963729,163.55789999943227,185.9452000062447,579.2,0.1773720557098864,0.0,170,170,170,180,180,190,190,190,190,190,190
GET,[Account] View Account Details,46,0,150.42270001140423,153.686217391742,150.42270001140423,165.13189999386668,18.0,0.4079557281327387,0.0,150,150,150,150,160,160,170,170,170,170,170
POST,[Account] View All Accounts,29,0,170.0,168.86197931458372,164.31200000806712,186.32690000231378,583.1034482758621,0.2571894807793353,0.0,170,170,170,170,170,180,190,190,190,190,190
POST,[Auth] Login,20,4,1600.0,24068.48812499811,501.20259998948313,60151.3060000143,109.2,0.1773720557098864,0.03547441114197728,1600,57000,58000,60000,60000,60000,60000,60000,60000,60000,60000
POST,[Auth] Logout,2,0,160.0,4448.289249994559,156.5450000052806,8740.033499983838,37.0,0.01773720557098864,0.0,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
POST,[Auth] Re-login,2,0,610.0,634.3044500099495,609.6651000261772,658.9437999937218,92.0,0.01773720557098864,0.0,660,660,660,660,660,660,660,660,660,660,660
POST,[Auth] Register User,300,280,60000.0,58856.380163332185,20914.419499982614,60332.56340000662,162.16333333333333,2.660580835648296,2.4832087799384097,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
PUT,[Auth] Update Profile,6,0,450.0,2750.5597833320885,414.2449999926612,13995.341800007736,94.83333333333333,0.05321161671296592,0.0,450,450,770,770,14000,14000,14000,14000,14000,14000,14000
POST,[Loan] Submit Application (Cloud Function),7,0,380.0,435.7619571424688,330.5992000096012,859.8966999852564,44.0,0.06208021949846024,0.0,380,380,380,380,860,860,860,860,860,860,860
POST,[Loan] View History (Cloud Function),11,0,180.0,215.26449090346102,177.9456000076607,501.38699999661185,76.45454545454545,0.09755463064043751,0.0,180,190,200,200,210,500,500,500,500,500,500
POST,[Transaction] Internal Transfer,18,0,350.0,405.58075555600226,277.6610000000801,982.6371000090148,67.22222222222223,0.15963485013889775,0.0,360,370,400,400,640,980,980,980,980,980,980
POST,[Transaction] View History,23,0,190.0,199.64213912759948,180.82619999768212,419.22909999266267,73.04347826086956,0.20397786406636936,0.0,190,190,190,200,210,220,420,420,420,420,420
,Aggregated,533,284,60000.0,34159.785423263755,150.42270001140423,60332.56340000662,176.16135084427768,4.726965284668473,2.518683191080387,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
