Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),794,0,170.0,186.7086209068459,167.2893000068143,1387.5719000061508,912.007556675063,2.6599096021547948,0.0,170,180,180,180,190,220,310,420,1400,1400,1400
POST,[Account] Create Checking Account,283,0,1300.0,1874.4669823330175,169.80340000009164,5426.124899997376,18.0,0.9480534224304873,0.0,1300,2600,3300,3400,4300,4800,5200,5300,5400,5400,5400
POST,[Account] Create Savings Account,283,0,1800.0,1685.299318374193,171.0112000000663,5346.075999987079,18.0,0.9480534224304873,0.0,1800,2000,2000,2800,4100,4600,4800,4900,5300,5300,5300
POST,[Account] Get All Accounts,283,0,310.0,663.6839275618163,164.6826000069268,3646.448399988003,586.148409893993,0.9480534224304873,0.0,310,780,930,1100,1500,1700,3000,3000,3600,3600,3600
GET,[Account] View Account Details,3139,0,150.0,162.2870134116905,149.6661999844946,554.7515999933239,18.0,10.515687961163602,0.0,150,160,160,160,160,210,300,350,490,550,550
POST,[Account] View All Accounts,2296,0,170.0,205.87144028767324,163.1731000088621,2955.161299993051,589.6868466898954,7.691627766432505,0.0,170,180,180,180,200,260,590,1300,2900,3000,3000
POST,[Auth] Login,283,30,4000.0,5037.113400706618,148.3408999920357,21835.552500007907,102.74911660777386,0.9480534224304873,0.10050036280181844,4000,5700,7400,7500,12000,14000,16000,17000,22000,22000,22000
POST,[Auth] Logout,154,0,151.0814999928698,162.66657207739485,151.0814999928698,811.6956000158098,37.0,0.515901862382668,0.0,150,150,160,160,160,180,240,370,810,810,810
POST,[Auth] Re-login,151,0,210.0,245.2935529801461,187.57810001261532,4240.837699995609,96.42384105960265,0.5058518261024861,0.0,210,220,230,240,250,280,370,410,4200,4200,4200
POST,[Auth] Register User,300,17,21000.0,15827.376145333215,305.95540002104826,26129.369900008896,99.78666666666666,1.0050036280181844,0.05695020558769712,21000,22000,23000,23000,24000,25000,25000,26000,26000,26000,26000
PUT,[Auth] Update Profile,329,1,220.0,320.61175076063796,153.5804999875836,13636.250700015808,96.4984802431611,1.1021539787266088,0.003350012093393948,220,240,250,260,270,320,520,3300,14000,14000,14000
POST,[Loan] Submit Application (Cloud Function),457,0,400.0,422.91475295417035,280.460599984508,1772.0739000069443,44.0,1.5309555266810342,0.0,400,420,450,460,500,540,620,990,1800,1800,1800
POST,[Loan] View History (Cloud Function),628,0,180.0,191.69112006381226,177.5045999966096,1120.82849998842,254.44267515923568,2.1038075946513994,0.0,180,180,190,190,190,200,310,400,1100,1100,1100
POST,[Transaction] Internal Transfer,1608,1,3300.0,4170.262390422934,167.23749999073334,16333.380700001726,67.70833333333333,5.386819446177468,0.003350012093393948,3300,4900,6100,6900,9200,11000,13000,14000,16000,16000,16000
POST,[Transaction] View History,1946,1,1300.0,1619.5309871019579,162.9553999810014,7133.483800018439,225.92394655704007,6.519123533744622,0.003350012093393948,1300,1900,2400,2700,3500,4000,5000,5500,6800,7100,7100
,Aggregated,12934,50,190.0,1456.464612061295,148.3408999920357,26129.369900008896,243.5492500386578,43.329056415957325,0.1675006046696974,190,420,1200,1800,3900,6700,12000,21000,25000,26000,26000
