Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),482,0,170.0,177.40856701289826,166.5175999805797,964.7745999973267,912.3858921161826,1.6136689642747477,0.0,170,170,170,170,180,180,190,270,960,960,960
POST,[Account] Create Checking Account,300,0,1200.0,1275.6496243338916,172.77410000679083,3498.0283999757376,18.0,1.0043582765195527,0.0,1200,1700,2100,2300,2600,2800,3000,3200,3500,3500,3500
POST,[Account] Create Savings Account,300,0,790.0,922.7940233343785,168.67630000342615,2865.455099992687,18.0,1.0043582765195527,0.0,800,1000,1300,1500,2200,2500,2700,2800,2900,2900,2900
POST,[Account] Get All Accounts,300,0,510.0,601.4049853338898,163.8904999999795,1832.5726999901235,585.56,1.0043582765195527,0.0,520,640,920,1100,1200,1500,1700,1700,1800,1800,1800
GET,[Account] View Account Details,1901,0,150.0,250.8617453974164,149.14870000211522,3371.2728999962565,18.0,6.3642836122122315,0.0,150,150,160,160,180,700,2100,2600,3300,3400,3400
POST,[Account] View All Accounts,1530,0,170.0,316.66838084914406,162.63239999534562,4565.260999981547,587.816339869281,5.122227210249718,0.0,170,170,170,180,530,1200,2600,3100,4600,4600,4600
POST,[Auth] Login,300,25,15000.0,12310.577146665793,148.51100000669248,23036.212100007106,101.22666666666667,1.0043582765195527,0.08369652304329604,15000,16000,17000,18000,19000,20000,20000,22000,23000,23000,23000
POST,[Auth] Logout,100,0,150.5992000165861,365.21122699952684,150.5992000165861,6897.055899986299,37.0,0.33478609217318417,0.0,150,150,160,160,160,2300,3300,6900,6900,6900,6900
POST,[Auth] Re-login,100,1,190.0,892.8765149993706,151.98999998392537,16134.159400011413,96.54,0.33478609217318417,0.003347860921731842,190,200,210,210,240,5200,16000,16000,16000,16000,16000
POST,[Auth] Register User,300,0,28000.0,22011.266533667516,1735.2430000028107,36142.33040000545,96.16666666666667,1.0043582765195527,0.0,28000,28000,29000,30000,31000,31000,31000,34000,36000,36000,36000
PUT,[Auth] Update Profile,208,0,200.0,809.358712980611,189.2019000079017,30011.473599995952,96.1923076923077,0.6963550717202232,0.0,200,210,220,230,260,490,17000,20000,30000,30000,30000
POST,[Loan] Submit Application (Cloud Function),287,0,340.0,355.76102369341623,243.82529998547398,1417.2250999836251,44.0,0.9608360845370386,0.0,340,370,380,380,410,440,490,760,1400,1400,1400
POST,[Loan] View History (Cloud Function),355,0,180.0,188.39138591543994,176.13739997614175,1187.557500001276,164.07323943661973,1.188490627214804,0.0,180,180,190,190,190,200,240,280,1200,1200,1200
POST,[Transaction] Internal Transfer,905,588,15000.0,17142.616628950436,164.5254000031855,60156.537900009425,192.82983425414363,3.029814134167317,1.968542221978323,15000,20000,23000,25000,36000,50000,60000,60000,60000,60000,60000
POST,[Transaction] View History,1061,399,8100.0,11434.32598020716,164.98060000594705,60156.94140002597,122.40810556079171,3.552080437957484,1.335796507771005,8100,11000,13000,15000,26000,38000,48000,60000,60000,60000,60000
,Aggregated,8429,1013,200.0,4780.21533758457,148.51100000669248,60156.94140002597,240.55700557598766,28.219119709277695,3.391383113714356,200,1000,4000,7800,17000,27000,36000,45000,60000,60000,60000
