Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765660501,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765660502,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765660503,40,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1735.2430000028107,1738.8228000054369,1735.2430000028107,1742.402600008063,102.0
1765660504,80,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,10,0,2000.0,2013.2341999968048,1735.2430000028107,2117.552899988368,97.4
1765660505,100,,Aggregated,0.000000,0.000000,2100,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,16,0,2100.0,2730.066306250592,1735.2430000028107,3934.559999994235,96.5
1765660506,120,,Aggregated,1.000000,0.000000,3200,3900,3900,3900,3900,4200,4200,4200,4200,4200,4200,23,0,3200.0,2972.277078261275,1735.2430000028107,4242.227200011257,95.8695652173913
1765660507,140,,Aggregated,4.000000,0.000000,3900,3900,4200,5000,5000,6000,6000,6000,6000,6000,6000,30,0,3200.0,3518.329283335091,1735.2430000028107,6035.588900005678,95.9
1765660508,160,,Aggregated,4.000000,0.000000,3900,3900,4200,5000,5000,6000,6000,6000,6000,6000,6000,30,0,3200.0,3518.329283335091,1735.2430000028107,6035.588900005678,95.9
1765660509,180,,Aggregated,3.833333,0.000000,4100,4200,5000,5000,6000,7000,7000,7000,7000,7000,7000,44,0,4100.0,3992.272065910749,1735.2430000028107,7024.423599999864,96.3409090909091
1765660510,200,,Aggregated,3.833333,0.000000,3900,4200,5000,6000,7000,7600,7600,7600,7600,7600,7600,61,0,3900.0,3789.2587606572797,273.90050000394695,7631.884899979923,83.18032786885246
