Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),830,0,170.0,179.098383975615,167.56620001979172,1727.8318000026047,912.5915662650602,2.7733217995114465,0.0,170,170,180,180,180,190,220,250,1700,1700,1700
POST,[Account] Create Checking Account,256,0,1200.0,1494.3132230476976,169.53669997747056,4622.369799995795,18.0,0.855386000813169,0.0,1200,1400,2800,3200,3800,4100,4200,4300,4600,4600,4600
POST,[Account] Create Savings Account,256,0,670.0,985.3448019532607,166.13559998222627,4789.649399986956,18.0,0.855386000813169,0.0,670,970,1100,1200,3200,3900,4200,4300,4800,4800,4800
POST,[Account] Get All Accounts,256,0,350.0,610.6628417957154,164.86360001727007,2384.573299990734,585.7265625,0.855386000813169,0.0,350,480,820,880,2000,2100,2100,2300,2400,2400,2400
GET,[Account] View Account Details,3223,0,150.0,154.54301256555334,148.90520001063123,300.05329998675734,18.0,10.76917609617517,0.0,150,150,150,160,160,160,170,190,280,300,300
POST,[Account] View All Accounts,2492,0,170.0,185.13582989567732,162.3599999875296,2676.3442999799736,589.5220706260033,8.326648101665691,0.0,170,170,170,180,180,200,310,550,2100,2700,2700
POST,[Auth] Login,256,25,1100.0,1554.02522421889,190.15229999786243,4560.93539998983,102.25390625,0.855386000813169,0.08353378914191104,1200,1800,2300,2500,3200,4600,4600,4600,4600,4600,4600
POST,[Auth] Logout,149,0,150.36050000344403,170.6537536926327,150.36050000344403,1203.807100013364,37.0,0.49786138328578977,0.0,150,150,160,160,160,180,260,1200,1200,1200,1200
POST,[Auth] Re-login,149,0,210.0,269.33102013333075,186.25989998690784,2526.9665000087116,96.30872483221476,0.49786138328578977,0.0,210,240,250,250,270,320,2300,2400,2500,2500,2500
POST,[Auth] Register User,300,44,1600.0,2267.667023332615,425.8389999740757,7712.268200004473,105.22,1.0024054697029323,0.14701946888976342,1600,2300,2900,3300,5800,6600,6900,7600,7700,7700,7700
PUT,[Auth] Update Profile,355,0,210.0,263.9280152116069,188.9523999998346,4657.031900016591,96.27042253521127,1.1861798058151367,0.0,210,240,250,250,290,340,540,1500,4700,4700,4700
POST,[Loan] Submit Application (Cloud Function),494,0,370.0,383.54255364399955,244.71090000588447,1577.7062999841291,44.0,1.650627673444162,0.0,370,390,400,410,450,490,590,900,1600,1600,1600
POST,[Loan] View History (Cloud Function),642,0,180.0,189.3842236760034,176.51680001290515,1228.3434999990277,358.8582554517134,2.1451477051642756,0.0,180,180,180,190,190,190,210,340,1200,1200,1200
POST,[Transaction] Internal Transfer,1622,0,890.0,2103.7397425396084,252.02970000100322,22926.6973999911,68.0980271270037,5.419672239527188,0.0,890,1500,2100,2400,4700,9400,14000,16000,22000,23000,23000
POST,[Transaction] View History,2069,0,320.0,792.2937510878037,178.1910000136122,9633.305999974255,318.3866602223296,6.913256389384557,0.0,320,500,720,890,1500,3200,6900,7600,8400,9600,9600
,Aggregated,13349,69,180.0,636.6906499212328,148.90520001063123,22926.6973999911,267.9465128474043,44.603702050214814,0.23055325803167445,180,270,400,570,1300,2600,4800,7600,16000,22000,23000
