Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),495,0,170.0,178.8919359594325,167.0305999869015,905.0148000242189,913.0727272727273,1.6579029014427988,0.0,170,180,180,180,180,190,220,260,910,910,910
POST,[Account] Create Checking Account,300,0,3500.0,3169.3419953339617,188.82700000540353,5710.028899979079,18.0,1.0047896372380598,0.0,3500,4400,4600,4600,4800,5200,5500,5600,5700,5700,5700
POST,[Account] Create Savings Account,300,0,2500.0,2865.2061880003507,177.29479999979958,7033.928699995158,18.0,1.0047896372380598,0.0,2500,3400,4200,4400,4600,5100,5300,5800,7000,7000,7000
POST,[Account] Get All Accounts,300,0,1200.0,1214.9497896660857,166.91179998451844,3491.464199993061,586.4133333333333,1.0047896372380598,0.0,1200,1300,1400,2200,2400,2500,3100,3300,3500,3500,3500
GET,[Account] View Account Details,2037,0,150.0,263.1040159056821,149.5248999854084,3929.929300007643,18.0,6.822521636846426,0.0,150,150,160,160,200,930,2200,3000,3800,3900,3900
POST,[Account] View All Accounts,1459,0,170.0,367.7095552433671,164.63650000514463,4604.178500012495,587.4098697738177,4.886626935767764,0.0,170,180,180,190,690,1700,3000,3700,4500,4600,4600
POST,[Auth] Login,300,0,900.0,1317.7130810002564,186.49910000385717,7025.917199993273,96.06333333333333,1.0047896372380598,0.0,900,1400,1900,2100,3300,3800,4200,4400,7000,7000,7000
POST,[Auth] Logout,109,0,150.56080001522787,172.43465412901543,150.56080001522787,2132.7105999807827,37.0,0.36507356819649506,0.0,150,150,160,160,160,160,170,170,2100,2100,2100
POST,[Auth] Re-login,109,0,190.0,216.07864036656267,185.1131000148598,1518.9170000085142,95.46788990825688,0.36507356819649506,0.0,190,200,210,230,240,250,290,330,1500,1500,1500
POST,[Auth] Register User,300,0,1300.0,2082.0820649997527,409.64050000184216,8193.126300000586,96.06333333333333,1.0047896372380598,0.0,1300,2300,3100,3800,5100,5600,5800,6500,8200,8200,8200
PUT,[Auth] Update Profile,205,0,200.0,217.15332829384928,189.39910002518445,1607.647500000894,96.16585365853659,0.6866062521126742,0.0,200,200,210,220,260,270,290,340,1600,1600,1600
POST,[Loan] Submit Application (Cloud Function),320,0,390.0,407.15792468645304,271.3872000167612,1118.6188000137918,44.0,1.0717756130539304,0.0,390,410,420,440,470,540,660,810,1100,1100,1100
POST,[Loan] View History (Cloud Function),403,0,190.0,204.15007369665003,183.0125999986194,1311.5557999990415,213.0818858560794,1.3497674126897936,0.0,190,190,200,200,210,230,320,410,1300,1300,1300
POST,[Transaction] Internal Transfer,880,742,17000.0,22281.95210806792,160.48190000583418,60153.9701000147,228.1534090909091,2.947382935898309,2.4851797027688014,17000,24000,29000,38000,53000,60000,60000,60000,60000,60000,60000
POST,[Transaction] View History,1054,516,10000.0,15891.739376470388,165.0925999856554,60155.43660000549,139.94117647058823,3.5301609254963835,1.728238176049463,10000,13000,17000,22000,49000,53000,57000,60000,60000,60000,60000
,Aggregated,8571,1258,200.0,4785.113653062573,149.5248999854084,60155.43660000549,241.79302298448255,28.70683993589137,4.213417878818264,200,1300,3400,5000,14000,27000,52000,57000,60000,60000,60000
