Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),499,0,170.0,179.77008937936432,167.99250000622123,1136.3486000045668,912.4108216432866,1.67051186895855,0.0,170,170,180,180,180,180,240,380,1100,1100,1100
POST,[Account] Create Checking Account,300,0,920.0,1281.3064443332648,172.78199997963384,3172.898700024234,18.0,1.004315752880892,0.0,930,2200,2300,2400,2600,2800,3100,3200,3200,3200,3200
POST,[Account] Create Savings Account,300,0,1300.0,1285.5554263339338,169.3987000035122,3417.071499978192,18.0,1.004315752880892,0.0,1300,1700,1800,2100,2600,2700,2800,3200,3400,3400,3400
POST,[Account] Get All Accounts,300,0,580.0,648.157607333366,164.38400000333786,1745.875699998578,585.82,1.004315752880892,0.0,580,650,980,1200,1400,1400,1500,1500,1700,1700,1700
GET,[Account] View Account Details,1971,0,150.0,275.37992612877764,149.24699999392033,4109.789000009187,18.0,6.59835449642746,0.0,150,150,160,160,200,920,2600,3000,4100,4100,4100
POST,[Account] View All Accounts,1492,0,170.0,389.79282359235333,163.072800001828,5043.1759000057355,587.298927613941,4.9947970109943025,0.0,170,170,180,180,650,2000,3400,3900,5000,5000,5000
POST,[Auth] Login,300,0,2800.0,5614.093394000083,201.66709998738952,20876.95479998365,96.14,1.004315752880892,0.0,3100,6300,9000,13000,16000,18000,19000,19000,21000,21000,21000
POST,[Auth] Logout,91,0,151.0061000008136,182.64434725406917,151.0061000008136,1481.6259000217542,37.0,0.3046424450405372,0.0,150,160,160,160,160,160,1300,1500,1500,1500,1500
POST,[Auth] Re-login,91,0,190.0,517.8413758224522,187.6916000037454,15673.859000002267,95.78021978021978,0.3046424450405372,0.0,190,200,200,200,220,280,14000,16000,16000,16000,16000
POST,[Auth] Register User,300,0,25000.0,20248.646346667472,1999.3429000023752,29479.540599975735,96.14,1.004315752880892,0.0,25000,25000,26000,26000,27000,28000,28000,28000,29000,29000,29000
PUT,[Auth] Update Profile,178,0,200.0,274.3459814600908,189.33770002331585,7253.7897000147495,96.28651685393258,0.5958940133759958,0.0,200,210,220,230,260,290,1100,2200,7300,7300,7300
POST,[Loan] Submit Application (Cloud Function),287,0,410.0,430.2694386754344,268.5629000188783,1552.8462000074796,44.0,0.9607954035893865,0.0,410,440,460,470,500,550,780,1000,1600,1600,1600
POST,[Loan] View History (Cloud Function),435,0,180.0,184.72649793116506,175.67870000493713,370.92570000095293,167.1494252873563,1.456257841677293,0.0,180,180,180,190,190,190,200,250,370,370,370
POST,[Transaction] Internal Transfer,879,716,15000.0,19890.366609329234,164.08539999974892,60161.59640002297,221.9306029579067,2.942645155941013,2.3969669302090617,15000,20000,25000,34000,51000,60000,60000,60000,60000,60000,60000
POST,[Transaction] View History,1127,561,9000.0,15540.165087932213,160.2920000150334,60159.610200003954,137.5181898846495,3.772879511655884,1.8780704578872678,9000,13000,16000,24000,43000,60000,60000,60000,60000,60000,60000
,Aggregated,8550,1277,200.0,5292.537685625744,149.24699999392033,60161.59640002297,242.7919298245614,28.62299895710542,4.2750373880963295,200,1300,4200,7100,18000,27000,51000,60000,60000,60000,60000
