Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),675,0,180.0,188.97838488833426,168.44060001312755,1547.4698999896646,912.117037037037,2.2665993074443214,0.0,180,180,180,190,190,210,260,510,1500,1500,1500
POST,[Account] Create Checking Account,300,0,1000.0,1247.712200001212,168.74269998515956,3015.4452999995556,18.0,1.007377469975254,0.0,1000,1800,2000,2100,2500,2700,2900,3000,3000,3000,3000
POST,[Account] Create Savings Account,300,0,1100.0,1142.7756340008152,169.4623999937903,3071.4853000245057,18.0,1.007377469975254,0.0,1200,1600,1700,1800,2100,2800,3000,3000,3100,3100,3100
POST,[Account] Get All Accounts,300,0,390.0,497.5379223328976,166.15800000727177,1373.875399993267,583.7666666666667,1.007377469975254,0.0,390,560,690,800,1000,1300,1300,1300,1400,1400,1400
GET,[Account] View Account Details,2651,0,160.0,218.03213598626937,149.60810000775382,3016.619800007902,18.0,8.901858909681328,0.0,160,160,170,170,180,350,1400,1900,2800,3000,3000
POST,[Account] View All Accounts,1976,0,180.0,300.8611585018105,164.98410000349395,3447.819499997422,586.3815789473684,6.6352596022370065,0.0,180,180,190,190,320,1100,2400,2700,3400,3400,3400
POST,[Auth] Login,300,23,2800.0,6255.80031033324,148.48450000863522,25476.66330001084,100.68666666666667,1.007377469975254,0.0772322726981028,2800,5400,12000,14000,16000,25000,25000,25000,25000,25000,25000
POST,[Auth] Logout,123,0,160.0,221.25784227434295,151.8952999904286,3587.8816999902483,37.0,0.4130247626898541,0.0,160,160,170,170,180,220,1800,1900,3600,3600,3600
POST,[Auth] Re-login,123,0,220.0,384.9984203250908,189.6749000006821,13320.435800007544,95.65853658536585,0.4130247626898541,0.0,220,230,240,250,270,330,1300,5600,13000,13000,13000
POST,[Auth] Register User,300,0,30000.0,24243.31581166695,2727.3879000276793,37335.85760000278,95.98666666666666,1.007377469975254,0.0,30000,31000,32000,32000,33000,34000,34000,37000,37000,37000,37000
PUT,[Auth] Update Profile,259,1,220.0,329.50195019370716,156.7057000065688,17422.36409999896,96.37065637065638,0.869702549078636,0.0033579248999175133,220,240,260,260,290,320,360,3000,17000,17000,17000
POST,[Loan] Submit Application (Cloud Function),387,0,420.0,436.84856537491856,287.5645999738481,1467.1149000059813,44.0,1.2995169362680776,0.0,420,430,460,460,490,570,870,1200,1500,1500,1500
POST,[Loan] View History (Cloud Function),539,0,190.0,203.6784072365553,178.6120999895502,1627.56300001638,232.00371057513914,1.8099215210555397,0.0,190,190,200,200,210,220,350,670,1600,1600,1600
POST,[Transaction] Internal Transfer,1252,501,9400.0,9848.340300878797,163.22550000040792,26191.48320000386,146.23402555910542,4.204121974696727,1.6823203748586741,9400,12000,15000,16000,19000,20000,22000,24000,25000,26000,26000
POST,[Transaction] View History,1498,282,4400.0,4732.239869692938,162.8791999828536,17028.660300013144,140.35380507343123,5.030171500076435,0.9469348217767387,4400,5400,6400,7100,9500,11000,13000,14000,17000,17000,17000
,Aggregated,10983,807,200.0,2838.3846652280827,148.48450000863522,37335.85760000278,240.7091869252481,36.88008917579405,2.709845394233433,200,790,2500,4100,9500,16000,25000,31000,34000,37000,37000
