Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),416,0,170.0,181.13766033576002,167.1630999771878,1551.4260999916587,911.6346153846154,1.3934784284504558,0.0,170,170,180,180,180,190,200,220,1600,1600,1600
POST,[Account] Create Checking Account,300,0,440.0,2745.197181000743,173.30049999873154,10924.815100006526,18.0,1.0049123282094634,0.0,440,4300,5900,6800,8000,9200,9500,11000,11000,11000,11000
POST,[Account] Create Savings Account,300,0,730.0,2058.9901680009402,172.96960001112893,11157.862299995031,18.0,1.0049123282094634,0.0,740,2100,3800,4300,5700,7300,8100,9200,11000,11000,11000
POST,[Account] Get All Accounts,300,0,410.0,767.3008603346534,168.62500002025627,5213.089600001695,584.04,1.0049123282094634,0.0,410,660,720,760,2400,3200,3600,3900,5200,5200,5200
GET,[Account] View Account Details,1783,0,150.0,277.3232953449914,149.38089999486692,4135.038900014479,18.0,5.972528937324911,0.0,150,160,160,160,190,820,2700,3300,4100,4100,4100
POST,[Account] View All Accounts,1306,0,170.0,405.5873752678787,165.6215999973938,7111.2473999965005,586.3353751914242,4.374718335471863,0.0,170,180,180,180,620,2500,3500,3800,5300,7100,7100
POST,[Auth] Login,300,0,2400.0,2443.9480636657877,189.38969998271205,6667.13560000062,95.73,1.0049123282094634,0.0,2400,3100,3200,3500,3800,4300,5000,5000,6700,6700,6700
POST,[Auth] Logout,93,0,150.68730001803488,155.08184193568405,150.68730001803488,172.86919997422956,37.0,0.3115228217449336,0.0,150,160,160,160,160,160,170,170,170,170,170
POST,[Auth] Re-login,93,0,190.0,201.1539494632543,187.31880001723766,266.97080000303686,95.29032258064517,0.3115228217449336,0.0,190,200,200,200,220,250,260,270,270,270,270
POST,[Auth] Register User,300,0,4200.0,3852.051692333771,732.1656999993138,10565.460000012536,95.73,1.0049123282094634,0.0,4300,5000,5400,6000,6600,7400,9100,9900,11000,11000,11000
PUT,[Auth] Update Profile,174,0,200.0,452.2722655189379,190.32040002639405,5855.167499976233,96.0632183908046,0.5828491503614888,0.0,200,210,220,240,310,3200,4900,5200,5900,5900,5900
POST,[Loan] Submit Application (Cloud Function),273,0,470.0,484.8475062267875,305.0202000013087,1556.1264000134543,44.0,0.9144702186706116,0.0,470,500,510,520,560,620,680,810,1600,1600,1600
POST,[Loan] View History (Cloud Function),367,0,190.0,203.90083515088452,178.8925000000745,2333.828700007871,178.33514986376022,1.2293427481762436,0.0,190,190,190,190,200,200,230,1100,2300,2300,2300
POST,[Transaction] Internal Transfer,731,676,22000.0,26912.482816141724,687.6695000100881,60161.492299987,237.8002735978112,2.4486363730703924,2.2644024462319905,22000,33000,41000,48000,60000,60000,60000,60000,60000,60000,60000
POST,[Transaction] View History,1040,751,12000.0,22395.683095866454,169.77269999915734,60168.55950001627,184.77403846153845,3.4836960711261393,2.5156305282843565,12000,27000,37000,46000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,7776,1427,200.0,6165.5503910496245,149.38089999486692,60168.55950001627,243.443158436214,26.04732754718929,4.780032974516347,200,1500,4300,6100,20000,44000,60000,60000,60000,60000,60000
