Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),429,0,180.0,189.2321706304597,169.65299998992123,1681.2783000059426,912.0629370629371,1.4376113903669148,0.0,180,180,180,180,180,210,260,450,1700,1700,1700
POST,[Account] Create Checking Account,300,0,550.0,785.0301556676277,175.8581000030972,2287.4161999789067,18.0,1.005322650606234,0.0,560,780,1300,1600,1900,2000,2000,2100,2300,2300,2300
POST,[Account] Create Savings Account,300,0,750.0,999.4035083331013,174.7746999899391,2350.3065000113565,18.0,1.005322650606234,0.0,750,1500,1800,1900,2000,2100,2200,2300,2400,2400,2400
POST,[Account] Get All Accounts,300,0,560.0,644.6573303330418,171.47070000646636,1478.7941999966279,585.9266666666666,1.005322650606234,0.0,560,870,960,1100,1200,1400,1400,1500,1500,1500,1500
GET,[Account] View Account Details,1831,0,150.0,253.18521179672032,149.6151000028476,3725.099200004479,18.0,6.135819244200048,0.0,150,160,160,160,190,600,2400,3000,3600,3700,3700
POST,[Account] View All Accounts,1393,0,180.0,334.5503134962438,166.41080001136288,4275.7100999879185,586.4508255563532,4.668048174314947,0.0,180,180,180,190,590,1100,2700,3400,4200,4300,4300
POST,[Auth] Login,300,0,1500.0,1681.3310909993986,185.884000005899,4962.021600018488,96.0,1.005322650606234,0.0,1500,1900,2200,2400,3100,4400,4600,4900,5000,5000,5000
POST,[Auth] Logout,91,0,150.21859999978915,168.67977582304584,150.21859999978915,929.729600000428,37.0,0.304947870683891,0.0,150,160,160,160,160,160,600,930,930,930,930
POST,[Auth] Re-login,90,2,200.0,249.2476933318863,151.06299999752082,3029.506599996239,96.81111111111112,0.3015967951818702,0.00670215100404156,200,200,210,220,260,330,1000,3000,3000,3000,3000
POST,[Auth] Register User,300,0,2000.0,2368.808355332391,564.0870000061113,6674.308600020595,96.0,1.005322650606234,0.0,2000,2500,3200,3600,4600,5700,6500,6500,6700,6700,6700
PUT,[Auth] Update Profile,183,0,200.0,263.6725857918777,189.41620000987314,4627.310600015335,96.4153005464481,0.6132468168698028,0.0,200,210,230,240,270,310,610,2000,4600,4600,4600
POST,[Loan] Submit Application (Cloud Function),258,0,470.0,477.5065050384593,320.0144999718759,1413.7043999799062,44.0,0.8645774795213613,0.0,470,490,500,510,540,590,650,930,1400,1400,1400
POST,[Loan] View History (Cloud Function),381,0,190.0,189.54670734903982,178.83509999956004,1081.7034000065178,161.55905511811022,1.2767597662699173,0.0,190,190,190,190,190,190,200,230,1100,1100,1100
POST,[Transaction] Internal Transfer,808,775,19000.0,25991.410795915963,164.01949999271892,60246.79629999446,238.7660891089109,2.7076690056327903,2.597083514066105,19000,31000,40000,49000,60000,60000,60000,60000,60000,60000,60000
POST,[Transaction] View History,968,720,14000.0,22984.02892468992,160.94659999362193,60155.193900020095,182.87396694214877,3.2438410859561153,2.4127743614549617,14000,20000,40000,47000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,7932,1497,200.0,5860.515453113915,149.6151000028476,60246.79629999446,246.83711548159354,26.580730882028828,5.016560026525108,200,980,2200,5000,18000,43000,60000,60000,60000,60000,60000
