Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),621,0,170.0,180.77906779387192,167.37979999743402,799.975000001723,912.7471819645733,2.0799403014186955,0.0,170,180,180,180,180,200,250,300,800,800,800
POST,[Account] Create Checking Account,300,0,340.0,422.41991933299386,172.0738000003621,1034.572600008687,18.0,1.0048020779800462,0.0,340,490,580,640,860,930,990,1000,1000,1000,1000
POST,[Account] Create Savings Account,300,0,380.0,478.6949393326843,171.6514999861829,1173.770500026876,18.0,1.0048020779800462,0.0,380,580,740,800,930,990,1100,1200,1200,1200,1200
POST,[Account] Get All Accounts,300,0,240.0,341.550120000126,167.29040001519024,842.7751999988686,585.42,1.0048020779800462,0.0,240,410,480,510,670,720,800,800,840,840,840
GET,[Account] View Account Details,2335,0,150.0,271.6118472805536,149.60190001875162,4036.88939998392,18.0,7.8207095069446915,0.0,150,160,160,160,300,1100,2200,2600,3600,4000,4000
POST,[Account] View All Accounts,1716,0,180.0,369.8136225526905,165.89460000977851,4599.929199990584,586.829254079254,5.747467886045864,0.0,180,180,190,210,650,1800,2700,3400,4500,4600,4600
POST,[Auth] Login,300,0,1700.0,1868.868107999636,190.87360001867637,6623.310299997684,96.1,1.0048020779800462,0.0,1700,2100,2600,2800,3600,4300,4800,5200,6600,6600,6600
POST,[Auth] Logout,135,2,150.66449998994358,225.04077037123756,150.66449998994358,2550.015499989968,38.77777777777778,0.45216093509102073,0.0066986805198669735,150,160,160,160,180,320,1700,1900,2600,2600,2600
POST,[Auth] Re-login,135,1,200.0,281.36250222127677,175.13920000055805,4429.77640000754,96.45185185185186,0.45216093509102073,0.0033493402599334868,200,210,220,230,290,370,2000,2200,4400,4400,4400
POST,[Auth] Register User,300,0,2200.0,2823.2477536670435,533.0903999856673,8408.431700023357,96.1,1.0048020779800462,0.0,2300,3100,4100,5000,5900,6300,6800,7200,8400,8400,8400
PUT,[Auth] Update Profile,239,0,200.0,291.0638769871066,189.34840001747943,6366.035400016699,96.40585774058577,0.8004923221241034,0.0,200,210,230,250,280,320,1800,2800,6400,6400,6400
POST,[Loan] Submit Application (Cloud Function),355,0,490.0,510.80870253524193,366.30419999710284,1387.0849999948405,44.0,1.1890157922763878,0.0,490,510,530,530,560,610,800,1100,1400,1400,1400
POST,[Loan] View History (Cloud Function),464,0,190.0,188.05425107768377,179.4277000008151,350.06300001987256,203.23706896551724,1.554093880609138,0.0,190,190,190,190,190,200,210,220,350,350,350
POST,[Transaction] Internal Transfer,1091,911,11000.0,13402.49832768167,161.2316000100691,50276.88869999838,232.1814848762603,3.6541302235874342,3.0512489767994064,11000,14000,17000,19000,32000,39000,44000,48000,50000,50000,50000
POST,[Transaction] View History,1211,667,6600.0,10000.30087877765,159.78889999678358,50919.92620000383,159.33195706028076,4.056051054779453,2.2340099533756357,6600,9200,11000,13000,23000,37000,44000,47000,51000,51000,51000
,Aggregated,9802,1581,200.0,3091.259426943563,149.60190001875162,50919.92620000383,250.7050601917976,32.830233227868035,5.295306950954843,200,650,2200,3800,9600,16000,32000,41000,49000,51000,51000
