Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),8,0,170.067899976857,174.83748750237282,170.067899976857,179.55860000802204,913.125,0.13654369689769788,0.0,180,180,180,180,180,180,180,180,180,180,180
POST,[Account] Create Checking Account,20,0,170.0,171.63655500480672,167.93049999978393,180.76099999598227,18.0,0.34135924224424474,0.0,170,170,170,170,180,180,180,180,180,180,180
POST,[Account] Create Savings Account,20,0,170.0,171.313164998719,167.64430000330321,178.97750000702217,18.0,0.34135924224424474,0.0,170,170,170,170,170,180,180,180,180,180,180
POST,[Account] Get All Accounts,20,0,170.0,167.774690000806,164.49789999751374,175.86909999954514,584.7,0.34135924224424474,0.0,170,170,170,170,170,180,180,180,180,180,180
GET,[Account] View Account Details,54,0,150.6156999967061,153.9080925921789,150.6156999967061,163.66370001924224,18.0,0.9216699540594607,0.0,150,150,150,160,160,160,160,160,160,160,160
POST,[Account] View All Accounts,33,0,170.0,168.73019696989408,164.9747000192292,183.49190001026727,589.8484848484849,0.5632427497030038,0.0,170,170,170,170,170,180,180,180,180,180,180
POST,[Auth] Login,20,0,200.0,222.81472000177018,188.38539998978376,289.51629999210127,95.95,0.34135924224424474,0.0,200,260,270,280,290,290,290,290,290,290,290
POST,[Auth] Logout,3,0,152.33069998794235,153.53993333216445,152.33069998794235,154.87840000423603,37.0,0.05120388633663671,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,[Auth] Re-login,3,0,190.0,189.72210000113895,188.75559998559766,191.53179999557324,91.0,0.05120388633663671,0.0,190,190,190,190,190,190,190,190,190,190,190
POST,[Auth] Register User,20,0,410.0,424.82429000228876,342.8728000144474,658.9426999853458,95.95,0.34135924224424474,0.0,420,420,430,430,560,660,660,660,660,660,660
PUT,[Auth] Update Profile,4,0,199.38819998060353,196.41647499520332,194.76370001211762,199.38819998060353,96.75,0.06827184844884894,0.0,200,200,200,200,200,200,200,200,200,200,200
POST,[Loan] Submit Application (Cloud Function),5,0,310.0,316.4908000151627,298.84190001757815,345.93920002225786,44.0,0.08533981056106119,0.0,310,320,320,350,350,350,350,350,350,350,350
POST,[Loan] View History (Cloud Function),7,0,182.59879999095574,184.8821285654724,182.59879999095574,189.2865999834612,112.85714285714286,0.11947573478548565,0.0,180,190,190,190,190,190,190,190,190,190,190
POST,[Transaction] Internal Transfer,24,0,310.0,322.7759124953688,246.71399997896515,427.4878999858629,66.04166666666667,0.40963109069309367,0.0,310,320,370,380,410,410,430,430,430,430,430
POST,[Transaction] View History,35,0,180.0,189.77204571877206,179.7462000104133,254.59980001323856,31.942857142857143,0.5973786739274283,0.0,180,190,190,190,210,220,250,250,250,250,250
,Aggregated,276,0,170.0,208.42690652257855,150.6156999967061,658.9426999853458,175.64492753623188,4.710757542970577,0.0,170,190,200,250,340,410,430,450,660,660,660
